region_key,median_income
autauga_alabama,69841
baldwin_alabama,75019
barbour_alabama,44290
bibb_alabama,51215
blount_alabama,61096
bullock_alabama,36723
butler_alabama,44881
calhoun_alabama,55826
chambers_alabama,49295
cherokee_alabama,50769
chilton_alabama,61873
choctaw_alabama,44483
clarke_alabama,49167
clay_alabama,51852
cleburne_alabama,53319
coffee_alabama,64672
colbert_alabama,56736
conecuh_alabama,42266
coosa_alabama,57063
covington_alabama,50886
crenshaw_alabama,49040
cullman_alabama,60916
dale_alabama,53955
dallas_alabama,36810
dekalb_alabama,51149
elmore_alabama,75553
escambia_alabama,44447
etowah_alabama,53070
fayette_alabama,50733
franklin_alabama,51493
geneva_alabama,50951
greene_alabama,31495
hale_alabama,41325
henry_alabama,60135
houston_alabama,57531
jackson_alabama,49454
jefferson_alabama,64589
lamar_alabama,47447
lauderdale_alabama,59082
lawrence_alabama,60040
lee_alabama,61123
limestone_alabama,83534
lowndes_alabama,35160
macon_alabama,45951
madison_alabama,83528
marengo_alabama,44205
marion_alabama,50714
marshall_alabama,60946
mobile_alabama,58119
monroe_alabama,40225
montgomery_alabama,58153
morgan_alabama,64858
perry_alabama,34368
pickens_alabama,47014
pike_alabama,47961
randolph_alabama,51551
russell_alabama,50046
st. clair_alabama,78993
shelby_alabama,93543
sumter_alabama,37981
talladega_alabama,56249
tallapoosa_alabama,57185
tuscaloosa_alabama,63947
walker_alabama,54509
washington_alabama,60503
wilcox_alabama,42236
winston_alabama,48032
aleutians east_alaska,72692
aleutians west_alaska,107344
anchorage municipality_alaska,98152
bethel_alaska,70616
bristol bay_alaska,100625
chugach_alaska,88565
copper river_alaska,75053
denali_alaska,88935
dillingham_alaska,74250
fairbanks north star_alaska,84722
haines_alaska,72607
hoonah-angoon_alaska,62500
juneau city and_alaska,100513
kenai peninsula_alaska,77722
ketchikan gateway_alaska,89155
kodiak island_alaska,83716
kusilvak_alaska,48233
lake and peninsula_alaska,64000
matanuska-susitna_alaska,90625
nome_alaska,76643
north slope_alaska,86313
northwest arctic_alaska,81298
petersburg_alaska,77026
prince of wales-hyder_alaska,59079
sitka city and_alaska,101207
skagway municipality_alaska,78594
southeast fairbanks_alaska,74223
wrangell city and_alaska,64545
yakutat city and_alaska,80625
yukon-koyukuk_alaska,52642
apache_arizona,40338
cochise_arizona,58970
coconino_arizona,69748
gila_arizona,59089
graham_arizona,67326
greenlee_arizona,75239
la paz_arizona,49506
maricopa_arizona,85518
mohave_arizona,55799
navajo_arizona,52752
pima_arizona,67929
pinal_arizona,77588
santa cruz_arizona,53614
yavapai_arizona,66106
yuma_arizona,60417
arkansas_arkansas,60831
ashley_arkansas,44481
baxter_arkansas,48427
benton_arkansas,89879
boone_arkansas,54195
bradley_arkansas,39565
calhoun_arkansas,63654
carroll_arkansas,55187
chicot_arkansas,39683
clark_arkansas,50985
clay_arkansas,48500
cleburne_arkansas,55979
cleveland_arkansas,50509
columbia_arkansas,47363
conway_arkansas,51212
craighead_arkansas,57615
crawford_arkansas,60362
crittenden_arkansas,54271
cross_arkansas,47012
dallas_arkansas,44694
desha_arkansas,36064
drew_arkansas,41071
faulkner_arkansas,65071
franklin_arkansas,51919
fulton_arkansas,38941
garland_arkansas,55409
grant_arkansas,72512
greene_arkansas,56793
hempstead_arkansas,47654
hot spring_arkansas,52644
howard_arkansas,44492
independence_arkansas,56009
izard_arkansas,47728
jackson_arkansas,41215
jefferson_arkansas,48552
